,lista_nome,lista_idade,lista_email
0,SAMUEL,16,samuel@gmail.com
1,SAMUEL,16,samuel@gmail.com
2,SAMUEL,16,samuel@gmail.com
3,LARISSA,40,larrisa@gmail.com
4,LARISSA,40,larrisa@gmail.com
5,LARISSA,40,larrisa@gmail.com
6,CAIO,11,caio@gmail.com
7,CAIO,11,caio@gmail.com
8,CAIO,11,caio@gmail.com
9,PEDRO,30,pedro@gmail.com
10,PEDRO,30,pedro@gmail.com
11,PEDRO,30,pedro@gmail.com
12,A,20,a@gmail.com
13,A,20,a@gmail.com
14,A,20,a@gmail.com
15,B,20,b@gmail.com
16,B,20,b@gmail.com
17,B,20,b@gmail.com
18,C,20,c@gmail.com
19,C,20,c@gmail.com
20,C,20,c@gmail.com
21,D,20,d@gmail.com
22,D,20,d@gmail.com
23,D,20,d@gmail.com
24,E,20,e@gmail.com
25,E,20,e@gmail.com
26,E,20,e@gmail.com
27,F,20,f@gmail.com
28,F,20,f@gmail.com
29,F,20,f@gmail.com
30,G,20,g@gmail.com
31,G,20,g@gmail.com
32,G,20,g@gmail.com
33,H,20,h@gmail.com
34,H,20,h@gmail.com
35,H,20,h@gmail.com
